CNPJ,ESPECIALIDADE,ESTABELECIMENTO
1323420000171,Brasileira | Italiana,Restaurante
1323899000146,Italiana | Árabe,Restaurante
1325136000134,Italiana,Restaurante
1330829000115,Brasileira,Restaurante
1336495000197,Brasileira,Bar
1339353000264,Italiana,Restaurante
1340321000106,Brasileira,Restaurante
1344271000127,Brasileira | Cozinha regional,Restaurante
1344271000127,Brasileira,Restaurante
1346360000102,Brasileira,Restaurante
1348175000157,Brasileira,Restaurante
1348610000143,Brasileira,Restaurante
1349186000151,Brasileira,Similar
1349609000133,Brasileira,Restaurante
1353169000198,Brasileira,Restaurante
1354466000158,Cozinha regional | Francesa | Italiana,Restaurante
1358634000183,Americana | Brasileira,Restaurante
1358634000264,Americana | Brasileira,Restaurante
1358634000345,Americana | Brasileira,Restaurante
1358634000426,Americana | Brasileira,Restaurante
1358637000117,Americana | Brasileira,Restaurante
1359497000100,Brasileira,Restaurante
1362257000156,Brasileira,Restaurante
1367632000150,Brasileira | Cozinha regional,Restaurante
1370249000151,Italiana | Árabe,Restaurante
1373098000195,Brasileira | Cozinha regional,Restaurante
1379480000106,Brasileira,Cafeteria
1383061000148,Brasileira,Cafeteria
1384145000104,Brasileira,Restaurante
1387221000127,Brasileira | Cozinha regional,Restaurante
1388062000185,Brasileira,Restaurante
1389023000100,Brasileira,Restaurante
1390674000102,Brasileira,Similar
1391437000166,Cozinha regional,Restaurante
1396012000140,Brasileira,Restaurante
1397851000182,Americana,Restaurante
1397851000263,Americana,Restaurante
1397851000425,Americana,Restaurante
1397851000506,Americana,Similar
1397851000778,Americana,Restaurante
1405124000110,Brasileira,Similar
1405279000156,Portuguesa,Restaurante
1405279000156,Brasileira,Restaurante
1408982000118,Brasileira,Restaurante
1409908000116,Italiana | Árabe,Restaurante
1412932000104,Brasileira | Cozinha regional | Mexicana,Restaurante
1413508000184,Cozinha regional,Restaurante
1415767000144,Brasileira | Cozinha regional | Japonesa,Restaurante
1416554000137,Brasileira | Cozinha regional,Restaurante
1418153000116,Brasileira,Restaurante
1419533000175,Americana,Bar
1421473000125,Brasileira,Restaurante
1422664000101,Americana,Restaurante
1422664000292,Americana,Restaurante
1422664000373,Americana,Restaurante
1422664000454,Americana,Restaurante
1422664000705,Americana,Restaurante
1422664000888,Americana,Restaurante
1422664000969,Americana,Restaurante
1422664001000,Americana,Restaurante
1422664001183,Americana,Restaurante
1422664001264,Americana,Restaurante
